Temperatura początkowa;Współczynnik chłodzenia;Liczba iteracji;Cmax (średnia);;;;;;;
133,3333333;0,896666667;250;153,35;;;;;;;
133,3333333;0,974444444;350;153,35;;;;;;;
150;0,881111111;250;153,35;;;;;;;
200;0,974444444;400;153,35;;;;;;;
66,66666667;0,865555556;200;153,36;;;;;;;
66,66666667;0,912222222;200;153,36;;;;;;;
66,66666667;0,943333333;250;153,36;;;;;;;
83,33333333;0,912222222;200;153,36;;;;;;;
116,6666667;0,943333333;250;153,36;;;;;;;
150;0,927777778;200;153,36;;;;;;;
166,6666667;0,881111111;200;153,36;;;;;;;
166,6666667;0,912222222;250;153,36;;;;;;;
200;0,912222222;250;153,36;;;;;;;
66,66666667;0,974444444;300;153,37;;;;;;;
83,33333333;0,943333333;250;153,37;;;;;;;
116,6666667;0,974444444;350;153,37;;;;;;;
166,6666667;0,865555556;200;153,37;;;;;;;
200;0,865555556;200;153,37;;;;;;;
50;0,974444444;300;153,38;;;;;;;
166,6666667;0,927777778;250;153,38;;;;;;;
183,3333333;0,974444444;350;153,38;;;;;;;
200;0,927777778;250;153,38;;;;;;;
150;0,958888889;300;153,39;;;;;;;
150;0,974444444;350;153,39;;;;;;;
200;0,958888889;300;153,39;;;;;;;
166,6666667;0,896666667;200;153,4;;;;;;;
200;0,881111111;200;153,4;;;;;;;
116,6666667;0,974444444;300;153,41;;;;;;;
166,6666667;0,912222222;200;153,41;;;;;;;
183,3333333;0,85;200;153,41;;;;;;;
100;0,85;200;153,42;;;;;;;
100;0,881111111;200;153,42;;;;;;;
133,3333333;0,85;200;153,42;;;;;;;
150;0,896666667;200;153,42;;;;;;;
200;0,943333333;250;153,42;;;;;;;
50;0,958888889;200;153,43;;;;;;;
116,6666667;0,912222222;200;153,43;;;;;;;
133,3333333;0,927777778;200;153,43;;;;;;;
166,6666667;0,958888889;250;153,43;;;;;;;
183,3333333;0,881111111;200;153,43;;;;;;;
183,3333333;0,912222222;200;153,43;;;;;;;
200;0,85;200;153,43;;;;;;;
83,33333333;0,85;150;153,44;;;;;;;
83,33333333;0,85;200;153,44;;;;;;;
133,3333333;0,896666667;200;153,44;;;;;;;
133,3333333;0,927777778;250;153,44;;;;;;;
200;0,958888889;250;153,44;;;;;;;
50;0,927777778;200;153,45;;;;;;;
66,66666667;0,85;150;153,45;;;;;;;
66,66666667;0,896666667;200;153,45;;;;;;;
66,66666667;0,958888889;250;153,45;;;;;;;
200;0,912222222;200;153,45;;;;;;;
50;0,943333333;200;153,46;;;;;;;
50;0,958888889;250;153,46;;;;;;;
66,66666667;0,865555556;150;153,46;;;;;;;
83,33333333;0,912222222;150;153,46;;;;;;;
116,6666667;0,927777778;200;153,46;;;;;;;
166,6666667;0,85;150;153,46;;;;;;;
100;0,865555556;150;153,47;;;;;;;
133,3333333;0,865555556;150;153,47;;;;;;;
66,66666667;0,927777778;200;153,48;;;;;;;
83,33333333;0,881111111;200;153,48;;;;;;;
183,3333333;0,927777778;200;153,48;;;;;;;
200;0,896666667;200;153,48;;;;;;;
200;0,927777778;200;153,48;;;;;;;
200;0,974444444;350;153,48;;;;;;;
66,66666667;0,943333333;200;153,49;;;;;;;
83,33333333;0,865555556;150;153,49;;;;;;;
83,33333333;0,958888889;250;153,49;;;;;;;
100;0,881111111;150;153,49;;;;;;;
133,3333333;0,881111111;200;153,49;;;;;;;
50;0,912222222;200;153,5;;;;;;;
116,6666667;0,927777778;250;153,5;;;;;;;
66,66666667;0,881111111;200;153,51;;;;;;;
83,33333333;0,927777778;200;153,51;;;;;;;
100;0,85;150;153,51;;;;;;;
133,3333333;0,912222222;200;153,51;;;;;;;
100;0,958888889;250;153,52;;;;;;;
183,3333333;0,865555556;150;153,53;;;;;;;
133,3333333;0,85;150;153,54;;;;;;;
133,3333333;0,943333333;200;153,54;;;;;;;
150;0,958888889;250;153,54;;;;;;;
150;0,974444444;300;153,54;;;;;;;
166,6666667;0,927777778;200;153,54;;;;;;;
183,3333333;0,943333333;250;153,54;;;;;;;
50;0,85;150;153,55;;;;;;;
83,33333333;0,881111111;150;153,55;;;;;;;
83,33333333;0,958888889;200;153,55;;;;;;;
116,6666667;0,958888889;250;153,55;;;;;;;
150;0,943333333;200;153,55;;;;;;;
100;0,943333333;200;153,56;;;;;;;
116,6666667;0,912222222;150;153,56;;;;;;;
133,3333333;0,881111111;150;153,56;;;;;;;
166,6666667;0,85;200;153,56;;;;;;;
166,6666667;0,881111111;150;153,56;;;;;;;
200;0,943333333;200;153,56;;;;;;;
100;0,974444444;300;153,57;;;;;;;
116,6666667;0,865555556;150;153,57;;;;;;;
133,3333333;0,912222222;150;153,57;;;;;;;
183,3333333;0,943333333;200;153,57;;;;;;;
50;0,881111111;150;153,58;;;;;;;
50;0,896666667;150;153,58;;;;;;;
100;0,958888889;200;153,58;;;;;;;
116,6666667;0,896666667;150;153,58;;;;;;;
133,3333333;0,896666667;150;153,58;;;;;;;
166,6666667;0,865555556;150;153,58;;;;;;;
66,66666667;0,912222222;150;153,59;;;;;;;
116,6666667;0,881111111;150;153,59;;;;;;;
133,3333333;0,958888889;250;153,59;;;;;;;
83,33333333;0,927777778;150;153,6;;;;;;;
150;0,912222222;200;153,6;;;;;;;
66,66666667;0,881111111;150;153,61;;;;;;;
116,6666667;0,85;150;153,61;;;;;;;
166,6666667;0,943333333;200;153,61;;;;;;;
183,3333333;0,896666667;200;153,61;;;;;;;
200;0,85;150;153,61;;;;;;;
200;0,881111111;150;153,61;;;;;;;
83,33333333;0,896666667;150;153,62;;;;;;;
183,3333333;0,958888889;250;153,62;;;;;;;
100;0,974444444;250;153,63;;;;;;;
100;0,896666667;150;153,64;;;;;;;
183,3333333;0,896666667;150;153,64;;;;;;;
183,3333333;0,912222222;150;153,64;;;;;;;
50;0,865555556;100;153,65;;;;;;;
83,33333333;0,943333333;200;153,65;;;;;;;
166,6666667;0,896666667;150;153,65;;;;;;;
183,3333333;0,974444444;300;153,65;;;;;;;
200;0,896666667;150;153,65;;;;;;;
116,6666667;0,943333333;200;153,66;;;;;;;
150;0,865555556;150;153,66;;;;;;;
183,3333333;0,85;150;153,66;;;;;;;
200;0,912222222;150;153,67;;;;;;;
183,3333333;0,958888889;200;153,68;;;;;;;
50;0,912222222;150;153,7;;;;;;;
133,3333333;0,974444444;300;153,7;;;;;;;
150;0,85;150;153,7;;;;;;;
50;0,974444444;250;153,71;;;;;;;
116,6666667;0,927777778;150;153,72;;;;;;;
166,6666667;0,974444444;300;153,72;;;;;;;
166,6666667;0,912222222;150;153,73;;;;;;;
183,3333333;0,881111111;150;153,73;;;;;;;
150;0,958888889;200;153,74;;;;;;;
200;0,865555556;150;153,75;;;;;;;
50;0,865555556;150;153,76;;;;;;;
66,66666667;0,896666667;150;153,76;;;;;;;
83,33333333;0,85;100;153,76;;;;;;;
150;0,881111111;150;153,76;;;;;;;
166,6666667;0,958888889;200;153,76;;;;;;;
83,33333333;0,974444444;250;153,77;;;;;;;
66,66666667;0,927777778;150;153,78;;;;;;;
150;0,927777778;150;153,78;;;;;;;
66,66666667;0,958888889;200;153,8;;;;;;;
116,6666667;0,958888889;200;153,81;;;;;;;
150;0,912222222;150;153,81;;;;;;;
200;0,974444444;300;153,81;;;;;;;
133,3333333;0,974444444;250;153,82;;;;;;;
150;0,896666667;150;153,82;;;;;;;
100;0,912222222;150;153,84;;;;;;;
150;0,865555556;100;153,84;;;;;;;
133,3333333;0,865555556;100;153,85;;;;;;;
66,66666667;0,974444444;250;153,86;;;;;;;
183,3333333;0,927777778;150;153,86;;;;;;;
150;0,974444444;250;153,87;;;;;;;
50;0,927777778;150;153,88;;;;;;;
83,33333333;0,865555556;100;153,88;;;;;;;
100;0,927777778;150;153,88;;;;;;;
100;0,943333333;150;153,88;;;;;;;
116,6666667;0,865555556;100;153,89;;;;;;;
50;0,85;100;153,91;;;;;;;
150;0,85;100;153,91;;;;;;;
116,6666667;0,974444444;250;153,92;;;;;;;
